# Response Point
# Name,P1 - Rotate1.FD9 (degree),P2 - NumberOfMach,P3 - total-drag-force-op (N),P4 - airbrake-drag-op (N),P5 - base-body-drag-op (N),P6 - coefficient-of-drag-op
Name,P1,P2,P3,P4,P5,P6
Response Point,48,0.45,137.71606931442372,76.710876970175164,58.253190010104881,1.1460984019227458

# Response Chart for P6 - coefficient-of-drag-op
# P1 - Rotate1.FD9 (degree),P2 - NumberOfMach,P6 - coefficient-of-drag-op
P1,P2,P6
1,0.1,0.58206386623643513
4.9166666666666661,0.1,0.62515339371791112
8.8333333333333321,0.1,0.669628472061979
12.75,0.1,0.71551815144341735
16.666666666666664,0.1,0.76279615933737932
20.583333333333332,0.1,0.8113782288180541
24.5,0.1,0.86112912166646438
28.416666666666664,0.1,0.9118798772438671
32.333333333333329,0.1,0.96345410246172958
36.25,0.1,1.0157007597258008
40.166666666666664,0.1,1.0685307300350317
44.083333333333329,0.1,1.1219572004229266
48,0.1,1.1761486748733685
51.916666666666664,0.1,1.2315410406997969
55.833333333333329,0.1,1.290504129257823
59.75,0.1,1.3527053317802911
63.666666666666664,0.1,1.4166714565336791
67.583333333333329,0.1,1.4822829726721827
71.5,0.1,1.5495728102508737
75.416666666666657,0.1,1.6185841710309721
79.333333333333329,0.1,1.6893230533127324
83.25,0.1,1.7617404997031676
87.166666666666657,0.1,1.8357316214435435
91.083333333333329,0.1,1.9111458716710481
95,0.1,1.9878042017005042
1,0.12916666666666668,0.574489875717516
4.9166666666666661,0.12916666666666668,0.61777211086333683
8.8333333333333321,0.12916666666666668,0.66246252563907426
12.75,0.12916666666666668,0.70858279433098192
16.666666666666664,0.12916666666666668,0.7560949572603588
20.583333333333332,0.12916666666666668,0.80489995835045836
24.5,0.12916666666666668,0.8548466117398108
28.416666666666664,0.12916666666666668,0.90575119721404551
32.333333333333329,0.12916666666666668,0.9574260461290115
36.25,0.12916666666666668,1.0097141132992244
40.166666666666664,0.12916666666666668,1.0625264529915506
44.083333333333329,0.12916666666666668,1.1158824104087162
48,0.12916666666666668,1.169960820810608
51.916666666666664,0.12916666666666668,1.2252025478495849
55.833333333333329,0.12916666666666668,1.2839441389537229
59.75,0.12916666666666668,1.3460372720411071
63.666666666666664,0.12916666666666668,1.4099552005950728
67.583333333333329,0.12916666666666668,1.4755874805603162
71.5,0.12916666666666668,1.5429806973932219
75.416666666666657,0.12916666666666668,1.6121887241474504
79.333333333333329,0.12916666666666668,1.6832227186479138
83.25,0.12916666666666668,1.756031996829718
87.166666666666657,0.12916666666666668,1.8305026025099034
91.083333333333329,0.12916666666666668,1.9064681453740824
95,0.12916666666666668,1.9837285301121252
1,0.15833333333333335,0.56743803556500982
4.9166666666666661,0.15833333333333335,0.61092642573307943
8.8333333333333321,0.15833333333333335,0.65583445935411511
12.75,0.15833333333333335,0.70217448413896544
16.666666666666664,0.15833333333333335,0.74989643137506834
20.583333333333332,0.15833333333333335,0.79888802486621258
24.5,0.15833333333333335,0.848985858181906
28.416666666666664,0.15833333333333335,0.89999708689166924
32.333333333333329,0.15833333333333335,0.95172959992649564
36.25,0.15833333333333335,1.0040272736820797
40.166666666666664,0.15833333333333335,1.0568070596135346
44.083333333333329,0.15833333333333335,1.1100977669820451
48,0.15833333333333335,1.1640886743638543
51.916666666666664,0.15833333333333335,1.2192230886240676
55.833333333333329,0.15833333333333335,1.2777962515149404
59.75,0.15833333333333335,1.3398340610885568
63.666666666666664,0.15833333333333335,1.4037500158126868
67.583333333333329,0.15833333333333335,1.4694352771173105
71.5,0.15833333333333335,1.5369454634218591
75.416666666666657,0.15833333333333335,1.6063437518250292
79.333333333333329,0.15833333333333335,1.6776482564940802
83.25,0.15833333333333335,1.7508108259201125
87.166666666666657,0.15833333333333335,1.8257140660812108
91.083333333333329,0.15833333333333335,1.9021815576889287
95,0.15833333333333335,1.9799971534139995
1,0.1875,0.56098343100817349
4.9166666666666661,0.1875,0.6047008109244455
8.8333333333333321,0.1875,0.64983792978253763
12.75,0.1875,0.69639604192054416
16.666666666666664,0.1875,0.744313015445819
20.583333333333332,0.1875,0.79346566991983924
24.5,0.1875,0.84368305742910843
28.416666666666664,0.1875,0.89476985439816736
32.333333333333329,0.1875,0.94653720031023891
36.25,0.1875,0.99883729702768664
40.166666666666664,0.1875,1.0515985908887133
44.083333333333329,0.1875,1.1048617897114217
48,0.1875,1.1588250796290147
51.916666666666664,0.1875,1.2139292766915135
55.833333333333329,0.1875,1.2724180749040925
59.75,0.1875,1.3344781826767029
63.666666666666664,0.1875,1.3984549159703283
67.583333333333329,0.1875,1.4642318152815148
71.5,0.1875,1.5318680860302398
75.416666666666657,0.1875,1.6014350421187589
79.333333333333329,0.1875,1.6729607192571709
83.25,0.1875,1.7464056994209598
87.166666666666657,0.1875,1.8216572063860499
91.083333333333329,0.1875,1.8985371922816461
95,0.1875,1.976820895375909
1,0.21666666666666667,0.55518734980892093
4.9166666666666661,0.21666666666666667,0.59916579658240177
8.8333333333333321,0.21666666666666667,0.64455326213733555
12.75,0.21666666666666667,0.69133835157497459
16.666666666666664,0.21666666666666667,0.739447281486657
20.583333333333332,0.21666666666666667,0.78874877812083266
24.5,0.21666666666666667,0.83906958643572815
28.416666666666664,0.21666666666666667,0.89021905474885665
32.333333333333329,0.21666666666666667,0.94201958679454345
36.25,0.21666666666666667,0.994339111017045
40.166666666666664,0.21666666666666667,1.0471227293249381
44.083333333333329,0.21666666666666667,1.1004245565728892
48,0.21666666666666667,1.1544487542298405
51.916666666666664,0.21666666666666667,1.2096268758177686
55.833333333333329,0.21666666666666667,1.2681393217689685
59.75,0.21666666666666667,1.3303177866768154
63.666666666666664,0.21666666666666667,1.3944295427294648
67.583333333333329,0.21666666666666667,1.4603401626500563
71.5,0.21666666666666667,1.5281064911776152
75.416666666666657,0.21666666666666667,1.5978069917567879
79.333333333333329,0.21666666666666667,1.669483421919173
83.25,0.21666666666666667,1.7431126792742637
87.166666666666657,0.21666666666666667,1.8185964185455972
91.083333333333329,0.21666666666666667,1.8957652952256754
95,0.21666666666666667,1.9743952725392426
1,0.24583333333333335,0.550088554316313
4.9166666666666661,0.24583333333333335,0.59436741247545033
8.8333333333333321,0.24583333333333335,0.64003479855798429
12.75,0.24583333333333335,0.687065289970357
16.666666666666664,0.24583333333333335,0.73537404324928179
20.583333333333332,0.24583333333333335,0.78482464289585652
24.5,0.24583333333333335,0.83524681224054065
28.416666666666664,0.24583333333333335,0.88646163569793623
32.333333333333329,0.24583333333333335,0.93831053616698012
36.25,0.24583333333333335,0.990684130485774
40.166666666666664,0.24583333333333335,1.0435487388784779
44.083333333333329,0.24583333333333335,1.0969726838928293
48,0.24583333333333335,1.1511624141896266
51.916666666666664,0.24583333333333335,1.2065326466595541
55.833333333333329,0.24583333333333335,1.2651884733213339
59.75,0.24583333333333335,1.3275897278060642
63.666666666666664,0.24583333333333335,1.3919155092968596
67.583333333333329,0.24583333333333335,1.4580027881664401
71.5,0.24583333333333335,1.5258999327245182
75.416666666666657,0.24583333333333335,1.5956915419344875
79.333333333333329,0.24583333333333335,1.6674370403263112
83.25,0.24583333333333335,1.7411375700043672
87.166666666666657,0.24583333333333335,1.8167195938026068
91.083333333333329,0.24583333333333335,1.8940335701921918
95,0.24583333333333335,1.9728664480937947
1,0.275,0.54569571835035813
4.9166666666666661,0.275,0.59031768232398174
8.8333333333333321,0.275,0.63629911262406724
12.75,0.275,0.68359928436242012
16.666666666666664,0.275,0.73212283506728315
20.583333333333332,0.275,0.78173090155509339
24.5,0.275,0.83226098413846483
28.416666666666664,0.275,0.88355227788845914
32.333333333333329,0.275,0.93547217277035311
36.25,0.275,0.9879401500620365
40.166666666666664,0.275,1.0409477141123691
44.083333333333329,0.275,1.0945779437613179
48,0.275,1.1490360750487416
51.916666666666664,0.275,1.2047129906315746
55.833333333333329,0.275,1.2636277843797887
59.75,0.275,1.3263522534735215
63.666666666666664,0.275,1.3909683241904898
67.583333333333329,0.275,1.457274387003989
71.5,0.275,1.5253043585292982
75.416666666666657,0.275,1.5951475649503444
79.333333333333329,0.275,1.6668842219437134
83.25,0.275,1.7405466024653964
87.166666666666657,0.275,1.8160953357841452
91.083333333333329,0.275,1.8934110073251884
95,0.275,1.9723014216357144
1,0.3041666666666667,0.541982507672085
4.9166666666666661,0.3041666666666667,0.58698809027495824
8.8333333333333321,0.3041666666666667,0.63331655719420121
12.75,0.3041666666666667,0.68091063718283951
16.666666666666664,0.3041666666666667,0.72966472542243088
20.583333333333332,0.3041666666666667,0.77943958372575206
24.5,0.3041666666666667,0.83008431658530246
28.416666666666664,0.3041666666666667,0.88146138482472924
32.333333333333329,0.3041666666666667,0.93346982946263357
36.25,0.3041666666666667,0.98606314677861218
40.166666666666664,0.3041666666666667,1.0392615123529509
44.083333333333329,0.3041666666666667,1.0931636344310403
48,0.3041666666666667,1.1479712852111559
51.916666666666664,0.3041666666666667,1.2040465716351472
55.833333333333329,0.3041666666666667,1.2633149066200828
59.75,0.3041666666666667,1.3264462869547309
63.666666666666664,0.3041666666666667,1.3914190156818802
67.583333333333329,0.3041666666666667,1.4579845167683847
71.5,0.3041666666666667,1.5261566857771887
75.416666666666657,0.3041666666666667,1.5960273341649738
79.333333333333329,0.3041666666666667,1.6676987096959432
83.25,0.3041666666666667,1.7412385556571166
87.166666666666657,0.3041666666666667,1.8166482969786868
91.083333333333329,0.3041666666666667,1.8938465192205844
95,0.3041666666666667,1.9726699218656734
1,0.33333333333333337,0.53888663489203215
4.9166666666666661,0.33333333333333337,0.5843078034023097
8.8333333333333321,0.33333333333333337,0.63100848586141856
12.75,0.33333333333333337,0.67891362743509309
16.666666666666664,0.33333333333333337,0.72790726202325307
20.583333333333332,0.33333333333333337,0.77785097767228883
24.5,0.33333333333333337,0.82860799057877521
28.416666666666664,0.33333333333333337,0.88006757616933218
32.333333333333329,0.33333333333333337,0.93216451778262732
36.25,0.33333333333333337,0.98489030031979974
40.166666666666664,0.33333333333333337,1.0382969221907441
44.083333333333329,0.33333333333333337,1.0925004405460028
48,0.33333333333333337,1.1476990831254379
51.916666666666664,0.33333333333333337,1.2042245643880161
55.833333333333329,0.33333333333333337,1.2639053750488909
59.75,0.33333333333333337,1.3274998351148681
63.666666666666664,0.33333333333333337,1.3928799280531945
67.583333333333329,0.33333333333333337,1.459744110772206
71.5,0.33333333333333337,1.5280813206363073
75.416666666666657,0.33333333333333337,1.5979824035137895
79.333333333333329,0.33333333333333337,1.6695700846362342
83.25,0.33333333333333337,1.7429480683289476
87.166666666666657,0.33333333333333337,1.8181609801570549
91.083333333333329,0.33333333333333337,1.895169343337761
95,0.33333333333333337,1.9738436596253475
1,0.36250000000000004,0.536313727214262
4.9166666666666661,0.36250000000000004,0.58216782257508082
8.8333333333333321,0.36250000000000004,0.62925171834827121
12.75,0.36250000000000004,0.67747141402940436
16.666666666666664,0.36250000000000004,0.72670007253196678
20.583333333333332,0.36250000000000004,0.77680036206893222
24.5,0.36250000000000004,0.82765064514564357
28.416666666666664,0.36250000000000004,0.87916875381252524
32.333333333333329,0.36250000000000004,0.93132752113116157
36.25,0.36250000000000004,0.98415911096644015
40.166666666666664,0.36250000000000004,1.0377502172302568
44.083333333333329,0.36250000000000004,1.092237091811866
48,0.36250000000000004,1.1478170345883048
51.916666666666664,0.36250000000000004,1.2047938270996141
55.833333333333329,0.36250000000000004,1.2649011043945892
59.75,0.36250000000000004,1.3289804415486024
63.666666666666664,0.36250000000000004,1.3947993302666621
67.583333333333329,0.36250000000000004,1.46200019340401
